post_id,post_date,platform,hashtag,content_type,region,views,likes,shares,comments,engagement_level,year,month,engagement_score,engagement_growth,revival_label,cluster
Post_162,2022-02-08,Instagram,#challenge,Video,Brazil,3201846,335416,50986,16715,High,2022,2,3604963,-0.1955107476850333,0,1
Post_363,2022-02-06,Instagram,#challenge,Post,Japan,258238,465551,15136,48715,Low,2022,2,787640,-0.7815123206534991,0,1
Post_484,2022-02-12,TikTok,#challenge,Post,Germany,2872586,304584,57452,40015,High,2022,2,3274637,3.1575300898887813,1,1
Post_626,2022-02-24,Twitter,#challenge,Live Stream,Japan,749258,380259,21872,21913,Medium,2022,2,1173302,-0.6417001334804437,0,1
Post_848,2022-02-19,Instagram,#challenge,Tweet,Brazil,2635991,187823,29537,46857,Low,2022,2,2900208,1.471834191026692,0,1
Post_1305,2022-02-13,Instagram,#challenge,Live Stream,UK,3171066,339557,4006,12554,Medium,2022,2,3527183,0.2161827703392309,0,1
Post_1455,2022-02-01,Instagram,#challenge,Video,Germany,3262707,322516,95255,21585,High,2022,2,3702063,0.0495806426828435,0,1
Post_1839,2022-02-11,Twitter,#challenge,Tweet,Brazil,902229,166118,61721,35192,Medium,2022,2,1165260,-0.6852403646291271,0,1
Post_1888,2022-02-22,YouTube,#challenge,Shorts,Australia,4007218,440738,42840,6434,High,2022,2,4497230,2.859421931586084,1,0
Post_2142,2022-02-17,YouTube,#challenge,Live Stream,Australia,3863014,248275,65817,25327,Medium,2022,2,4202433,-0.0655507946002317,0,0
Post_2169,2022-02-20,YouTube,#challenge,Tweet,Canada,3887988,9588,49773,40260,Medium,2022,2,3987609,-0.0511189589459248,0,0
Post_2345,2022-02-19,Instagram,#challenge,Video,Canada,358197,302752,72799,21197,Medium,2022,2,754945,-0.8106772755302739,0,1
Post_2532,2022-02-21,YouTube,#challenge,Post,UK,4780227,282426,29708,35199,Low,2022,2,5127560,5.791964977581149,1,0
Post_2596,2022-02-12,YouTube,#challenge,Post,Canada,1700594,333525,46048,33160,High,2022,2,2113327,-0.5878493864528158,0,1
Post_2655,2022-02-01,Instagram,#challenge,Live Stream,Japan,3339645,423737,51231,19571,Low,2022,2,3834184,0.8142880869832261,0,0
Post_2905,2022-02-23,TikTok,#challenge,Live Stream,Australia,750309,254612,13280,27574,Medium,2022,2,1045775,-0.7272496572934424,0,1
Post_3265,2022-02-03,Twitter,#challenge,Reel,India,4139390,438609,12994,30472,Low,2022,2,4621465,3.419177165260214,1,0
Post_3303,2022-02-15,Instagram,#challenge,Video,Germany,478538,205376,88710,8313,High,2022,2,780937,-0.8310196009274116,0,1
Post_3404,2022-02-04,Instagram,#challenge,Tweet,UK,1707151,195846,61196,10966,High,2022,2,1975159,1.5292168254289398,1,1
Post_3714,2022-02-20,YouTube,#challenge,Post,Canada,475805,301526,19765,33905,Low,2022,2,831001,-0.5792738711161988,0,1
Post_4699,2022-02-10,TikTok,#challenge,Live Stream,India,4033514,337654,97426,20972,Low,2022,2,4489566,4.402599996871243,1,0
Post_324,2022-03-23,TikTok,#challenge,Tweet,Japan,1070510,29674,53802,4514,High,2022,3,1158500,-0.7419572404103203,0,1
Post_372,2022-03-17,YouTube,#challenge,Tweet,Australia,2893640,20284,70366,14181,High,2022,3,2998471,1.588235649546828,1,1
Post_375,2022-03-24,Instagram,#challenge,Tweet,Germany,4655360,225104,99715,47565,Low,2022,3,5027744,0.6767692600662139,0,0
Post_518,2022-03-09,YouTube,#challenge,Post,India,514808,83217,39130,31901,Low,2022,3,669056,-0.8669271943838032,0,1
Post_1196,2022-03-13,YouTube,#challenge,Reel,USA,633478,356209,80366,48809,Low,2022,3,1118862,0.6722994786684522,0,1
Post_1242,2022-03-08,TikTok,#challenge,Reel,Australia,3327212,134040,6283,36793,High,2022,3,3504328,2.1320466688474538,1,1
Post_1473,2022-03-20,YouTube,#challenge,Tweet,Brazil,655188,203395,52047,33016,High,2022,3,943646,-0.7307198412933948,0,1
Post_1751,2022-03-19,TikTok,#challenge,Live Stream,UK,153188,185171,99287,27548,Medium,2022,3,465194,-0.5070248800927466,0,1
Post_1789,2022-03-28,Instagram,#challenge,Reel,India,3429630,163927,73040,10283,Medium,2022,3,3676880,6.903971246404725,1,1
Post_2320,2022-03-21,Instagram,#challenge,Reel,Canada,3082916,70195,7912,15188,Medium,2022,3,3176211,-0.1361668044646548,0,1
Post_2367,2022-03-29,YouTube,#challenge,Tweet,Australia,4289977,96645,89277,22760,Low,2022,3,4498659,0.4163602481069426,0,0
Post_2629,2022-03-24,TikTok,#challenge,Shorts,Australia,2484617,291379,87937,19854,High,2022,3,2883787,-0.3589674167346314,0,1
Post_2733,2022-03-23,Twitter,#challenge,Reel,Australia,2680307,263946,18402,30996,Low,2022,3,2993651,0.0380971271456596,0,1
Post_2760,2022-03-21,YouTube,#challenge,Tweet,Australia,4042630,463439,13491,9970,High,2022,3,4529530,0.5130454418367405,0,0
Post_3051,2022-03-05,Instagram,#challenge,Live Stream,USA,3068331,454979,20223,17128,High,2022,3,3560661,-0.2139005592191684,0,1
Post_3059,2022-03-12,TikTok,#challenge,Reel,India,784742,282053,19133,30108,High,2022,3,1116036,-0.6865649383639723,0,1
Post_3631,2022-03-10,YouTube,#challenge,Shorts,Japan,71395,250794,24677,5802,Medium,2022,3,352668,-0.6839994408782513,0,1
Post_3652,2022-03-13,Instagram,#challenge,Post,USA,2446014,30223,88394,2447,Medium,2022,3,2567078,6.279021629407828,1,1
Post_3683,2022-03-05,Twitter,#challenge,Tweet,Japan,4654777,94417,20561,44245,Medium,2022,3,4814000,0.8752838830764005,0,0
Post_4145,2022-03-03,Instagram,#challenge,Reel,India,378801,462818,74567,16848,High,2022,3,933034,-0.8061832156211051,0,1
Post_4153,2022-03-20,TikTok,#challenge,Shorts,India,427399,347981,86598,26949,Medium,2022,3,888927,-0.0472726610177121,0,1
Post_4431,2022-03-11,YouTube,#challenge,Shorts,UK,3478951,72455,68320,473,Low,2022,3,3620199,3.072549264450287,1,1
Post_4554,2022-03-15,TikTok,#challenge,Reel,UK,4573261,366527,58722,44114,Medium,2022,3,5042624,0.3929134834853001,0,0
Post_4639,2022-03-29,YouTube,#challenge,Shorts,UK,4786577,393842,27939,12035,Low,2022,3,5220393,0.035253272899189,0,0
Post_166,2022-04-07,YouTube,#challenge,Post,Germany,3587143,430347,96428,42640,Medium,2022,4,4156558,-0.2037844660354115,0,0
Post_425,2022-04-19,Twitter,#challenge,Live Stream,Germany,4528887,325301,55955,3060,High,2022,4,4913203,0.1820364349541134,0,0
Post_800,2022-04-23,YouTube,#challenge,Live Stream,Canada,3704693,361357,70236,46913,High,2022,4,4183199,-0.1485800607058165,0,0
Post_823,2022-04-14,YouTube,#challenge,Post,Japan,508550,499157,39933,26111,Low,2022,4,1073751,-0.7433182117322175,0,1
Post_1007,2022-04-15,Instagram,#challenge,Video,Canada,2980875,23957,13444,22622,High,2022,4,3040898,1.8320327524724076,1,1
Post_1249,2022-04-22,TikTok,#challenge,Live Stream,USA,2248578,93218,59577,14331,Medium,2022,4,2415704,-0.2055951893157876,0,1
Post_1371,2022-04-14,Instagram,#challenge,Tweet,Australia,1180989,109429,18098,33218,Medium,2022,4,1341734,-0.444578474846256,0,1
Post_1538,2022-04-22,YouTube,#challenge,Video,Canada,20509,237516,66323,41897,Medium,2022,4,366245,-0.7270360593083278,0,1
Post_1698,2022-04-04,TikTok,#challenge,Post,India,933613,305356,62697,4288,Low,2022,4,1305954,2.5657933896708487,1,1
Post_1795,2022-04-27,YouTube,#challenge,Shorts,Canada,2459556,105917,66293,2828,Medium,2022,4,2634594,1.0173712090931226,0,1
Post_2139,2022-04-15,YouTube,#challenge,Video,Japan,2221509,94536,30994,17067,Low,2022,4,2364106,-0.1026678114350826,0,1
Post_2170,2022-04-28,YouTube,#challenge,Reel,Japan,888391,41916,38940,10831,Medium,2022,4,980078,-0.585433986462536,0,1
Post_2239,2022-04-18,YouTube,#challenge,Post,Canada,940572,408240,54144,49611,Medium,2022,4,1452567,0.4820932619648641,0,1
Post_2468,2022-04-19,Twitter,#challenge,Video,Germany,2127962,220734,21453,14972,Medium,2022,4,2385121,0.6420041209803058,0,1
Post_2943,2022-04-08,TikTok,#challenge,Tweet,Canada,1649017,231068,47895,22587,High,2022,4,1950567,-0.1821936916408014,0,1
Post_2998,2022-04-26,YouTube,#challenge,Tweet,Germany,4755094,321396,15678,49589,Low,2022,4,5141757,1.6360319845460318,1,0
Post_3390,2022-04-24,Instagram,#challenge,Tweet,UK,1890827,110536,55270,12779,Medium,2022,4,2069412,-0.5975282379155608,0,1
Post_3824,2022-04-02,YouTube,#challenge,Tweet,Japan,2422046,151082,35275,30849,Low,2022,4,2639252,0.2753632432787671,0,1
Post_3981,2022-04-08,Twitter,#challenge,Reel,USA,4332749,174493,80245,4174,Low,2022,4,4591661,0.7397584618672259,0,0
Post_4128,2022-04-07,YouTube,#challenge,Video,Germany,2422829,415554,78181,4782,Medium,2022,4,2921346,-0.3637714108249716,0,1
Post_4315,2022-04-20,Instagram,#challenge,Post,Canada,712323,159720,86640,24901,High,2022,4,983584,-0.6633113640082345,0,1
Post_4657,2022-04-09,TikTok,#challenge,Tweet,USA,368570,216371,473,30193,High,2022,4,615607,-0.3741185297849497,0,1
Post_4721,2022-04-11,Twitter,#challenge,Live Stream,USA,1476558,181352,24958,40761,High,2022,4,1723629,1.79988531644377,1,1
Post_4952,2022-04-09,Instagram,#challenge,Tweet,Germany,4826210,358524,48491,825,Medium,2022,4,5234050,2.0366453569764724,1,0
Post_4954,2022-04-30,Twitter,#challenge,Live Stream,USA,3197157,386709,33943,20010,Medium,2022,4,3637819,-0.3049705295134742,0,1
Post_475,2022-05-14,Instagram,#challenge,Live Stream,USA,1137375,118437,23946,24358,High,2022,5,1304116,-0.6415115760294836,0,1
Post_559,2022-05-05,Twitter,#challenge,Post,UK,100506,161319,17132,32048,Low,2022,5,311005,-0.7615204475675477,0,1
Post_940,2022-05-13,TikTok,#challenge,Live Stream,Japan,4816608,10450,96249,3214,Low,2022,5,4926521,14.840648864166171,1,0
Post_1307,2022-05-22,TikTok,#challenge,Shorts,India,804183,164716,88378,8578,Medium,2022,5,1065855,-0.7836495571621435,0,1
Post_1497,2022-05-31,Instagram,#challenge,Post,Germany,735519,381334,90166,35476,Medium,2022,5,1242495,0.1657261072097049,0,1
Post_2100,2022-05-13,Instagram,#challenge,Reel,UK,2292806,162800,30173,43887,Medium,2022,5,2529666,1.0359566839303178,0,1
Post_2719,2022-05-23,Instagram,#challenge,Live Stream,UK,4621169,273643,43438,18369,Medium,2022,5,4956619,0.9593966159959456,0,0
Post_2838,2022-05-13,Instagram,#challenge,Reel,USA,228932,378052,98315,7270,High,2022,5,712569,-0.8562388999436914,0,1
Post_3071,2022-05-11,YouTube,#challenge,Post,UK,1817777,305112,68771,27995,Low,2022,5,2219655,2.115003599651402,1,1
Post_3233,2022-05-11,Instagram,#challenge,Live Stream,Brazil,2940609,417021,8144,10445,Medium,2022,5,3376219,0.5210557496547887,0,1
Post_3584,2022-05-29,TikTok,#challenge,Tweet,Australia,4813536,107229,29142,44927,Low,2022,5,4994834,0.479416471502589,0,0
Post_3605,2022-05-29,Instagram,#challenge,Live Stream,Canada,1700132,81658,81466,33991,High,2022,5,1897247,-0.6201581473978914,0,1
Post_3768,2022-05-01,TikTok,#challenge,Post,India,513589,314068,81740,24653,Low,2022,5,934050,-0.5076813930922015,0,1
Post_3835,2022-05-26,YouTube,#challenge,Shorts,USA,902552,133861,42619,19775,Medium,2022,5,1098807,0.1763899148867833,0,1
Post_3855,2022-05-07,YouTube,#challenge,Post,UK,1277967,9345,48427,29304,High,2022,5,1365043,0.2422955077643298,0,1
Post_3914,2022-05-15,Instagram,#challenge,Live Stream,Brazil,1482758,35680,95504,33046,Low,2022,5,1646988,0.2065466069567039,0,1
Post_4291,2022-05-30,YouTube,#challenge,Shorts,Japan,2243196,90911,32317,38941,Low,2022,5,2405365,0.4604629784795031,0,1
Post_4496,2022-05-10,YouTube,#challenge,Video,Australia,434662,116995,44116,26605,Low,2022,5,622378,-0.7412542379223112,0,1
Post_4801,2022-05-02,Instagram,#challenge,Shorts,India,3521257,499054,62073,40943,Medium,2022,5,4123327,5.625116890378516,1,0
Post_57,2022-06-30,Instagram,#challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,2022,6,2941912,-0.2865198418655614,0,1
Post_256,2022-06-07,Twitter,#challenge,Tweet,USA,2276898,337038,56049,13735,Medium,2022,6,2683720,-0.0877633321458969,0,1
Post_526,2022-06-25,YouTube,#challenge,Video,Germany,1769189,189560,31847,26317,Low,2022,6,2016913,-0.248463699640797,0,1
Post_1397,2022-06-20,Twitter,#challenge,Reel,USA,1687923,409229,27714,13106,Medium,2022,6,2137972,0.0600219245946651,0,1
Post_1649,2022-06-02,YouTube,#challenge,Tweet,USA,1085319,225410,83973,9673,Low,2022,6,1404375,-0.3431275058794034,0,1
Post_1702,2022-06-14,TikTok,#challenge,Live Stream,India,4348314,230560,3067,48962,Low,2022,6,4630903,2.2974832220738763,1,0
Post_1757,2022-06-15,TikTok,#challenge,Post,Japan,3678968,65840,37210,5897,High,2022,6,3787915,-0.1820353395439291,0,0
Post_2386,2022-06-23,Twitter,#challenge,Post,Brazil,4476612,393831,51315,38941,Medium,2022,6,4960699,0.309612016109126,0,0
Post_2914,2022-06-08,TikTok,#challenge,Reel,Australia,4889698,335718,85215,14194,High,2022,6,5324825,0.0734021556236328,0,0
Post_2918,2022-06-01,Instagram,#challenge,Shorts,Canada,4050217,331829,65620,38905,Medium,2022,6,4486571,-0.1574237651002614,0,0
Post_3023,2022-06-08,TikTok,#challenge,Shorts,Germany,2526800,324376,16252,9755,Low,2022,6,2877183,-0.3587122548601148,0,1
Post_3082,2022-06-02,TikTok,#challenge,Live Stream,Japan,1729099,214293,85464,23680,High,2022,6,2052536,-0.2866161102717485,0,1
Post_3301,2022-06-06,TikTok,#challenge,Reel,UK,281292,238512,36261,47856,High,2022,6,603921,-0.705768376291573,0,1
Post_3570,2022-06-24,TikTok,#challenge,Shorts,Germany,884647,81091,51842,40690,High,2022,6,1058270,0.7523318447280356,0,1
Post_3694,2022-06-29,YouTube,#challenge,Post,Australia,461899,39413,57043,36427,High,2022,6,594782,-0.4379676264091394,0,1
Post_3801,2022-06-05,YouTube,#challenge,Post,Japan,180597,168189,47117,20562,Medium,2022,6,416465,-0.2998022804994098,0,1
Post_4641,2022-06-10,Twitter,#challenge,Video,Australia,3884895,376159,19114,37055,High,2022,6,4317223,9.366352514617075,1,0
Post_4667,2022-06-14,YouTube,#challenge,Tweet,Australia,2185895,132996,98545,44058,Medium,2022,6,2461494,-0.4298432117127144,0,1
Post_4705,2022-06-10,Instagram,#challenge,Shorts,Canada,642028,8962,37402,31693,Low,2022,6,720085,-0.707460184749587,0,1
Post_4811,2022-06-29,TikTok,#challenge,Post,USA,2331691,451832,40146,31465,Low,2022,6,2855134,2.96499579910705,1,1
Post_81,2022-07-31,Instagram,#challenge,Shorts,India,4290853,211176,66264,14337,Medium,2022,7,4582630,0.6050490099589021,0,0
Post_153,2022-07-09,TikTok,#challenge,Shorts,Brazil,3251679,498580,96093,9968,Medium,2022,7,3856320,-0.1584919576749596,0,0
Post_230,2022-07-31,Instagram,#challenge,Shorts,Australia,1498512,205870,16834,34865,Medium,2022,7,1756081,-0.5446225935607003,0,1
Post_299,2022-07-14,Twitter,#challenge,Live Stream,Germany,4700334,65555,32126,13215,High,2022,7,4811230,1.7397540318470504,1,0
Post_346,2022-07-16,Twitter,#challenge,Shorts,Australia,2902262,99211,30845,37170,Medium,2022,7,3069488,-0.3620159501832172,0,1
Post_943,2022-07-25,Twitter,#challenge,Shorts,UK,3495620,264370,42528,26970,High,2022,7,3829488,0.24759829652372,0,0
Post_1048,2022-07-25,TikTok,#challenge,Video,USA,2418004,471089,47327,24701,Medium,2022,7,2961121,-0.226757989579808,0,1
Post_1057,2022-07-09,TikTok,#challenge,Live Stream,Brazil,3730939,8927,36583,33397,Medium,2022,7,3809846,0.2866228701900395,0,0
Post_1219,2022-07-11,TikTok,#challenge,Reel,UK,4706101,198755,73600,39098,Low,2022,7,5017554,0.316996540017628,0,0
Post_1252,2022-07-01,YouTube,#challenge,Reel,India,1358058,300720,59766,43145,Medium,2022,7,1761689,-0.6488948599257727,0,1
Post_1292,2022-07-20,YouTube,#challenge,Post,India,2764814,67913,48844,32596,Low,2022,7,2914167,0.6541892467966821,0,1
Post_1949,2022-07-22,YouTube,#challenge,Post,Canada,54853,331423,63763,2984,Medium,2022,7,453023,-0.844544598851061,0,1
Post_2238,2022-07-09,TikTok,#challenge,Shorts,Japan,4673322,65950,25445,8429,Low,2022,7,4773146,9.536211185745536,1,0
Post_2302,2022-07-10,Instagram,#challenge,Tweet,India,2069092,440513,93023,27202,Low,2022,7,2629830,-0.4490363378786234,0,1
Post_3086,2022-07-21,Twitter,#challenge,Post,Australia,3655039,320457,90568,40721,Low,2022,7,4106785,0.5616161500933521,0,0
Post_3822,2022-07-06,Instagram,#challenge,Live Stream,USA,3734090,477638,19503,13683,High,2022,7,4244914,0.0336343392702565,0,0
Post_4053,2022-07-17,Twitter,#challenge,Live Stream,Australia,3922748,50348,92144,19648,Medium,2022,7,4084888,-0.0376982902362685,0,0
Post_4101,2022-07-11,YouTube,#challenge,Reel,India,2578640,495952,58968,33480,Low,2022,7,3167040,-0.2246935534095426,0,1
Post_4490,2022-07-23,YouTube,#challenge,Live Stream,India,1235026,220260,76228,39918,High,2022,7,1571432,-0.5038168131757098,0,1
Post_4849,2022-07-12,YouTube,#challenge,Post,Canada,3405967,397972,27387,757,High,2022,7,3832083,1.4385929521608318,0,0
Post_188,2022-08-21,Twitter,#challenge,Reel,Japan,1520250,214233,80,10917,Medium,2022,8,1745480,-0.5445088219644512,0,1
Post_424,2022-08-08,Instagram,#challenge,Live Stream,Canada,3592674,160629,8445,9171,Medium,2022,8,3770919,1.1603908380502783,0,0
Post_597,2022-08-09,Twitter,#challenge,Live Stream,Canada,383395,244568,41301,37072,Low,2022,8,706336,-0.8126886310737516,0,1
Post_703,2022-08-24,Twitter,#challenge,Post,Brazil,257565,311076,77488,43551,Low,2022,8,689680,-0.0235808453767045,0,1
Post_711,2022-08-26,YouTube,#challenge,Shorts,Japan,3572811,361047,36640,14135,Low,2022,8,3984633,4.777509859645053,1,0
Post_1693,2022-08-22,TikTok,#challenge,Post,UK,2948962,477735,81979,8202,Medium,2022,8,3516878,-0.1173897320029222,0,1
Post_1961,2022-08-22,YouTube,#challenge,Shorts,Australia,2356676,78111,70417,5222,Low,2022,8,2510426,-0.2861776837297171,0,1
Post_2272,2022-08-26,YouTube,#challenge,Post,Brazil,4935280,316067,91218,33572,Low,2022,8,5376137,1.1415237891895638,0,0
Post_3178,2022-08-03,YouTube,#challenge,Reel,Canada,2391980,444847,46095,44360,Low,2022,8,2927282,-0.4555045751252247,0,1
Post_3200,2022-08-19,Twitter,#challenge,Video,Canada,588305,355237,85558,1657,Medium,2022,8,1030757,-0.6478791588921053,0,1
Post_3441,2022-08-13,TikTok,#challenge,Shorts,USA,4126753,393119,20044,15354,High,2022,8,4555270,3.419344229532276,1,0
Post_3593,2022-08-29,Twitter,#challenge,Video,USA,3345099,77768,80093,13493,Medium,2022,8,3516453,-0.2280472946718855,0,1
Post_4017,2022-08-15,TikTok,#challenge,Tweet,India,3646904,398181,9171,20163,High,2022,8,4074419,0.1586729582337656,0,0
Post_4167,2022-08-17,YouTube,#challenge,Video,UK,2877495,216913,25906,12302,High,2022,8,3132616,-0.2311502572514019,0,1
Post_4548,2022-08-11,Instagram,#challenge,Tweet,UK,50612,269736,42711,6981,Low,2022,8,370040,-0.8818750845938347,0,1
Post_4735,2022-08-09,Instagram,#challenge,Shorts,USA,4383045,364525,90039,11727,High,2022,8,4849336,12.104896767916982,1,0
Post_4750,2022-08-22,Twitter,#challenge,Tweet,Brazil,2677552,450023,10672,13565,Low,2022,8,3151812,-0.3500528732181065,0,1
Post_519,2022-09-16,Twitter,#challenge,Live Stream,India,3402798,5693,23769,1821,High,2022,9,3434081,0.0895576893545682,0,1
Post_525,2022-09-20,YouTube,#challenge,Reel,Germany,848550,133105,51730,28482,Medium,2022,9,1061867,-0.6907856861850376,0,1
Post_713,2022-09-15,TikTok,#challenge,Post,UK,2903079,28666,10000,20123,Medium,2022,9,2961868,1.7893022384159225,1,1
Post_744,2022-09-12,Twitter,#challenge,Live Stream,USA,2656794,311147,27434,13837,High,2022,9,3009212,0.0159845070745894,0,1
Post_1201,2022-09-26,TikTok,#challenge,Reel,USA,4486868,94546,72083,47825,Low,2022,9,4701322,0.5623100000930477,0,0
Post_1583,2022-09-02,YouTube,#challenge,Reel,Germany,416547,247208,58688,23164,Low,2022,9,745607,-0.8414048218777612,0,1
Post_1648,2022-09-07,Twitter,#challenge,Shorts,Japan,752268,50734,89891,9399,High,2022,9,902292,0.2101442180666222,0,1
Post_1672,2022-09-07,Instagram,#challenge,Live Stream,Germany,3925001,142073,88617,35526,Low,2022,9,4191217,3.6450783116773726,1,0
Post_1753,2022-09-28,YouTube,#challenge,Tweet,Brazil,248786,265311,3531,23777,High,2022,9,541405,-0.8708239158220632,0,1
Post_1811,2022-09-07,TikTok,#challenge,Post,Japan,4033416,205717,90647,33681,High,2022,9,4363461,7.05951367275884,1,0
Post_1831,2022-09-17,Instagram,#challenge,Video,USA,3888420,106266,41933,5458,Low,2022,9,4042077,-0.0736534599484216,0,0
Post_1841,2022-09-20,Twitter,#challenge,Live Stream,Japan,635761,432146,27237,43941,High,2022,9,1139085,-0.7181931467411432,0,1
Post_1934,2022-09-11,YouTube,#challenge,Reel,UK,2025937,218589,97104,34136,High,2022,9,2375766,1.085679295223798,0,1
Post_2054,2022-09-01,Instagram,#challenge,Reel,India,2889449,114404,51912,46965,Medium,2022,9,3102730,0.3059914149794214,0,1
Post_2073,2022-09-29,TikTok,#challenge,Reel,Brazil,1579972,111961,78755,42502,Low,2022,9,1813190,-0.4156146361430095,0,1
Post_2109,2022-09-16,Instagram,#challenge,Video,India,3886364,247013,99313,15416,High,2022,9,4248106,1.342890706434516,0,0
Post_2196,2022-09-20,TikTok,#challenge,Live Stream,Brazil,639630,343326,96725,48577,Low,2022,9,1128258,-0.734409169639364,0,1
Post_2704,2022-09-05,Twitter,#challenge,Reel,India,4082324,256226,63193,18181,Low,2022,9,4419924,2.917476321905096,1,0
Post_3435,2022-09-13,Instagram,#challenge,Reel,Canada,2732791,118006,19060,32402,High,2022,9,2902259,-0.3433690262547501,0,1
Post_3578,2022-09-19,Twitter,#challenge,Live Stream,USA,1080797,123510,46368,16690,Low,2022,9,1267365,-0.5633177466242676,0,1
Post_3698,2022-09-17,TikTok,#challenge,Tweet,UK,2573700,22478,94199,3637,Low,2022,9,2694014,1.1256812362657955,0,1
Post_3975,2022-09-10,TikTok,#challenge,Tweet,Australia,1823238,494324,85923,40077,Medium,2022,9,2443562,-0.092966109307524,0,1
Post_4014,2022-09-09,Twitter,#challenge,Reel,UK,1507283,378173,24558,9605,Low,2022,9,1919619,-0.2144177229798138,0,1
Post_4172,2022-09-08,YouTube,#challenge,Reel,Canada,2038756,93268,63855,4422,Low,2022,9,2200301,0.146217556713077,0,1
Post_4546,2022-09-27,YouTube,#challenge,Live Stream,Brazil,4035023,480450,83498,1828,High,2022,9,4600799,1.0909861877988511,0,0
Post_4707,2022-09-06,TikTok,#challenge,Shorts,Japan,1549672,2009,48438,13727,High,2022,9,1613846,-0.6492248411634588,0,1
Post_4779,2022-09-24,Twitter,#challenge,Live Stream,Germany,609969,103448,60694,21763,High,2022,9,795874,-0.5068463781550407,0,1
Post_123,2022-10-18,TikTok,#challenge,Video,UK,3924183,283030,30676,43977,Low,2022,10,4281866,4.380080263961381,1,0
Post_365,2022-10-23,Twitter,#challenge,Shorts,India,3128393,105546,30995,41182,Medium,2022,10,3306116,-0.2278796207074205,0,1
Post_748,2022-10-27,YouTube,#challenge,Live Stream,Brazil,2551155,88083,9939,37380,Low,2022,10,2686557,-0.1873978408501093,0,1
Post_1902,2022-10-24,YouTube,#challenge,Reel,Brazil,4636278,73454,29403,25464,High,2022,10,4764599,0.7734963375055881,0,0
Post_1918,2022-10-18,Twitter,#challenge,Live Stream,Brazil,2581052,65940,31348,24666,Medium,2022,10,2703006,-0.4326897184841788,0,1
Post_1972,2022-10-06,Twitter,#challenge,Post,Brazil,1056289,71036,48498,5795,High,2022,10,1181618,-0.5628503969284566,0,1
Post_2284,2022-10-02,TikTok,#challenge,Tweet,Japan,2706964,164322,27291,40079,High,2022,10,2938656,1.48697633245262,0,1
Post_2396,2022-10-14,TikTok,#challenge,Reel,UK,3810326,307848,55932,4856,High,2022,10,4178962,0.4220657334509381,0,0
Post_2550,2022-10-13,TikTok,#challenge,Video,USA,3499233,152081,83684,11191,High,2022,10,3746189,-0.1035599270823711,0,1
Post_2764,2022-10-05,Twitter,#challenge,Tweet,Brazil,163743,224473,55311,4919,Medium,2022,10,448446,-0.8802927455075011,0,1
